name	Hs_578T	HCC1187	MDAMB157	MDAMB436	BT549	BT20	BT549.1	CAL120	CAL51	CAL851	DU4475	HBL100	HCC1143	HCC1187.1	HCC1395	HCC1569	HCC1599	HCC1806	HCC1937	HCC1954	HCC3153	HCC38	HCC70	HDQP1	HS578T	JIMT1	MACLS2	MB157	MDAMB157.1	MDAMB231	MDAMB436.1	MDAMB468	MX1	SKBR7	SUM102	SUM1315	SUM149	SUM159	SUM229	SW527	UACC3199	CAL120.1	HCC38.1	HCC1599.1	HCC1395.1	MDAMB468.1	MDAMB231.1	HCC1954.1	JIMT1.1	HDQP1.1	HMC18	BT20.1	HCC1806.1	HCC2157	HCC1500	HCC1143.1	CAL51.1	CAL851.1	HCC1569.1	HCC70.1	DU4475.1	HCC1937.1
group	BASALB	BASALA	BASALB	BASALB	BASALB	BASALA	BASALB	BASALB	BASALB	BASALA	BASALB	BASALB	BASALA	BASALA	BASALB	BASALA	BASALA	BASALA	BASALA	BASALA	BASALA	BASALB	BASALA	BASALA	BASALB	BASALA	BASALA	BASALB	BASALB	BASALB	BASALB	BASALA	BASALA	BASALB	BASALB	BASALB	BASALA	BASALB	BASALA	BASALB	BASALB	BASALB	BASALB	BASALA	BASALB	BASALA	BASALB	BASALA	BASALA	BASALA	BASALB	BASALA	BASALA	BASALA	BASALA	BASALA	BASALB	BASALA	BASALA	BASALA	BASALB	BASALA
ENSG00000002746|HECW1|protein_coding	0.5131680000000001	0.378684	0.342513	1.04637	2.63528	0.01188	2.13495	1.21838	0.126203	0.175476	1.33418	0.41146400000000005	0.431037	0.0	0.0242491	0.0033734000000000004	0.014819299999999999	0.172261	0.038670300000000005	0.0882245	0.13688599999999998	1.8763400000000001	0.016351599999999997	0.0351392	1.56285	0.579968	0.186506	0.131853	1.87821	0.610069	0.24234699999999998	0.0147334	0.0	2.08771	0.343287	2.55193	0.08910189999999998	1.5362	0.0225311	0.908624	0.350952	0.45474	0.390802	0.00680702	0.160865	0.00803433	0.393179	0.0370417	0.45154700000000003	0.0210888	0.00215439	0.00686503	0.032999400000000005	0.00223255	0.0	0.682992	0.308132	0.060656600000000005	0.0	0.053538300000000004	0.129005	0.0148373
ENSG00000005001|PRSS22|protein_coding	0.021151	0.990563	0.05276	0.0545747	0.12712400000000001	31.6346	NA	0.404198	0.061998000000000004	75.1233	2.63234	0.109582	74.7408	1.8434700000000002	0.0172848	16.1365	33.1315	12.5979	38.9225	73.8496	15.6659	26.673000000000002	43.9877	29.0967	0.061888900000000004	24.5975	27.9237	14.7602	0.03546919999999999	2.62565	NA	19.8619	7.98561	0.0	2.83299	0.15981099999999998	10.6737	NA	1.58695	0.9041379999999999	11.1437	0.27363200000000004	57.2288	46.802	0.482501	23.1588	2.53841	86.1925	50.4335	20.7238	6.09578	64.0547	17.5224	55.2496	16.602999999999998	52.5103	0.05773969999999999	25.2845	6.28799	77.8084	1.8079900000000002	27.5159
ENSG00000006047|YBX2|protein_coding	0.117299	3.39284	2.32381	0.271955	0.9686110000000001	5.484369999999999	0.985625	0.205181	5.10759	3.79872	9.47575	0.317071	26.8875	2.21442	1.0336	28.7785	25.3085	0.34027199999999996	7.71143	13.2916	1.61761	6.05848	53.0892	9.50276	0.169125	28.7849	9.55457	0.055036	4.2591	0.0245864	0.23603200000000002	24.3008	91.288	1.6039700000000001	0.8214440000000001	3.31391	2.7968	0.0342961	0.6583180000000001	11.8305	4.937209999999999	0.16380899999999998	9.41325	12.2715	7.534269999999999	10.1529	0.0	16.9521	19.1016	4.43885	0.025179	7.278339999999999	0.723929	1.24266	22.1474	32.1413	17.6813	0.21827	30.221	40.0131	11.6887	6.02956
ENSG00000006555|TTC22|protein_coding	NA	3.2726900000000003	NA	0.020072299999999998	0.0210399	1.48251	NA	0.07041889999999999	0.0380043	6.5409	0.0304933	NA	5.26002	4.58588	0.16211	9.38725	5.3497900000000005	12.3541	7.7879	0.552937	NA	5.23581	14.9177	8.28288	0.015175	0.08654500000000001	4.03604	0.279831	0.00652271	0.33752600000000005	0.025716500000000003	7.1163300000000005	0.0	1.8071599999999999	5.67802	0.044083199999999996	11.4481	0.026156799999999997	9.94125	0.7833100000000001	3.88859	0.0555257	4.0189	0.309444	0.503991	7.18388	0.359083	0.06082180000000001	0.128923	2.83774	0.00480085	1.39212	5.005269999999999	8.850589999999999	0.0136458	3.94984	0.0141576	2.17975	8.21455	20.0841	0.0406532	5.6070400000000005
ENSG00000006576|PHTF2|protein_coding	19.4983	22.2739	43.5799	14.76	31.6863	5.12629	58.0194	41.409	52.2032	20.1092	37.7667	43.531000000000006	8.85159	27.1087	33.4156	44.367	10.0718	19.5983	20.315	22.3047	17.655	34.4488	16.7247	28.4307	44.4491	13.2997	6.81085	35.1329	51.1906	29.823	29.9009	15.2846	38.4998	11.0139	16.2614	34.0318	6.08655	16.6925	6.834630000000001	38.5552	12.0544	31.0772	32.836999999999996	8.95738	27.7593	9.15305	19.0115	23.8866	8.683060000000001	7.279730000000001	10.3067	5.62464	6.59018	6.70348	17.834	6.044980000000001	32.8332	6.421	23.733	19.195	20.5861	13.5651
ENSG00000006625|GGCT|protein_coding	57.0219	204.732	186.612	191.166	110.88799999999999	517.581	145.716	52.3441	159.315	222.998	236.188	164.201	148.746	270.83099999999996	71.1781	143.653	197.442	182.16	290.35900000000004	518.427	164.91299999999998	120.428	466.88199999999995	208.795	94.5478	210.13299999999998	78.1392	195.438	152.548	113.34700000000001	113.26700000000001	432.889	570.236	34.9221	164.83	87.3816	133.24200000000002	149.13	200.37400000000002	277.967	283.935	68.5386	95.3244	177.13299999999998	95.4526	252.97299999999998	85.6539	601.84	143.326	94.4772	67.0846	327.47	46.8142	153.239	203.03	97.0956	117.88	83.3532	104.32	371.504	288.065	318.065
ENSG00000007168|PAFAH1B1|protein_coding	49.3846	47.9186	61.6376	68.167	77.892	93.8403	135.526	113.27799999999999	147.649	137.608	92.45299999999999	121.083	95.1268	62.3168	141.73	89.428	53.5149	106.749	91.9516	71.6195	59.8859	65.7477	69.6259	101.069	106.09200000000001	44.8237	76.3766	95.3801	96.9109	114.765	127.587	62.721000000000004	81.2257	91.2148	96.6488	93.4839	80.4752	56.3481	95.7202	95.8427	83.66	55.0587	54.2243	24.3248	79.8766	38.6856	57.1312	43.0139	36.1093	29.2615	33.7505	60.1177	21.7551	32.2525	32.021	53.3712	65.8841	30.4602	48.0675	39.6156	50.8047	48.4009
ENSG00000007255|TRAPPC6A|protein_coding	12.5205	35.4458	22.0595	8.92319	15.5055	20.531	11.1691	10.6127	4.14356	20.8209	8.41059	35.8996	33.8397	33.3617	36.4923	24.9418	36.3265	8.6667	70.605	52.1922	52.9225	40.133	58.9771	63.4663	11.5225	61.1649	38.6005	11.8497	11.9938	3.7725	4.4227300000000005	56.7308	24.0335	11.7281	8.38847	10.3947	24.0966	12.1373	11.7303	47.5263	23.8264	26.5309	63.088	42.1532	67.8577	51.0664	4.31121	50.4681	110.95299999999999	54.0176	22.2303	39.741	33.4925	33.74	120.588	26.9995	26.5074	7.35935	40.3683	42.4829	21.7849	67.3593
ENSG00000007944|MYLIP|protein_coding	8.82895	48.3704	4.72621	5.58334	2.3522	38.5282	1.9351099999999999	12.3556	21.9873	27.8549	30.0576	46.4261	20.3932	54.5124	13.1484	98.816	25.7774	14.6469	53.9971	50.4223	52.3985	43.565	58.3114	35.7811	26.6747	30.1437	23.8589	3.51948	1.89684	26.3729	4.915780000000001	38.0324	51.3692	10.6013	13.0206	5.79376	31.0657	13.5769	36.8362	17.1426	35.8229	9.74095	14.5659	19.6352	4.39306	24.8411	17.5058	32.6715	21.6512	8.40757	2.1948	32.9883	22.1556	10.3939	27.0651	10.1748	33.6764	8.92192	31.0766	26.0679	22.4926	32.0026
